title	subtitle	format	place	placeId	start	end	video	sessionId	role	surname	name	job	bio	photo	memberId
Именем закона	Защита персональных данных: задачу ставит общество	Круглый стол	Большой зал	1	10:00	11:30	https://vkvideo.ru/video-162763950_456239236?pl=-162763950_41	ses_e5bbbe8e	Модератор	Мирошников	Борис Николаевич	Вице-президент компании «Гарда» по информационной безопасности	Борис Мирошников — вице-президент группы компаний «Гарда», генерал-полковник милиции в отставке, генерал-лейтенант ФСБ в отставке.  Работая в органах государственной безопасности и внутренних дел, занимался разработкой и внедрением в оперативную практику новых методов оперативно-розыскной деятельности, информационно-аналитической работы, создавал и руководил различными подразделениями. В частности, в ФСБ РФ — Управление компьютерной и информационной безопасности, в МВД РФ — Бюро специальных технических мероприятий (ранее в этих ведомствах таких подразделений не существовало). Принимал участие в разработке внутригосударственных и международных нормативных правовых актов, борьбы с преступлениями в сфере высоких технологий и кибертерроризмом. Организатор международного сотрудничества по борьбе с киберпреступностью и кибертерроризмом. Является членом Президент Национальной ассоциации международной информационной безопасности, член Научного совета Совета безопасности РФ.	miroshnikov.png	mem_3e61d536
Именем закона	Защита персональных данных: задачу ставит общество	Круглый стол	Большой зал	1	10:00	11:30	https://vkvideo.ru/video-162763950_456239236?pl=-162763950_41	ses_e5bbbe8e	Участник	Шадаев	Максут Игоревич	Министр цифрового развития связи и массовых коммуникаций РФ	Максут Шадаев — министр цифрового развития, связи и массовых коммуникаций Российской Федерации. Деятельность 2014–2016 Министр госуправления, информтехнологий и связи Московской области 2016–2018 Заместитель Председателя Правительства Подмосковья 2018–2019 Вице-президент ПАО «Ростелеком». Под его руководством — цифровые платформы и их развитие 2019–2020 Генеральный директор АО «РТ Лабс», компании-разработчика Госуслуг 21.01.2020-н/в Министр цифрового развития, связи и массовых коммуникаций Российской Федерации	shadaev.webp	mem_6bb98b50
Именем закона	Защита персональных данных: задачу ставит общество	Круглый стол	Большой зал	1	10:00	11:30	https://vkvideo.ru/video-162763950_456239236?pl=-162763950_41	ses_e5bbbe8e	Участник	Шелобков	Алексей Анатольевич 	Генеральный директор ИКС Холдинга	Родился в Москве в 1979 году. В 2002 году окончил с отличием Московский государственный технический университет им. Н.Э. Баумана (инженер по специальности «Роботы и робототехнические системы»). С 1999 по 2014 год занимал руководящие должности в глобальных технологических компаниях, в том числе был директором департамента аппаратного обеспечения корпорации IBM. В 2014 году покинул IBM и совместно с партнерами основал компанию YADRO, которая в 2019-м году вошла в состав частной технологической группы компаний «ИКС Холдинг».  В ноябре 2020 года Алексей Шелобков совместно с партнерами основал и возглавил частную космическую компанию «Бюро 1440», занимающуюся созданием отечественной низкоорбитальной спутниковой группировки для высокоскоростной передачи данных.  В феврале 2024 года назначен генеральным директором «ИКС Холдинга». Совокупная выручка холдинга на конец 2024 года составила порядка 265 млрд рублей. «ИКС Холдинг» входит в ТОП-3 крупнейших ИТ-компаний России.  В состав группы входят компании YADRO, «Цитадель», «Гарда», «Бастион» «Криптонит», «Бюро 1440». Численность персонала компаний группы превышает 14 тысяч сотрудников, 70% из которых – высококвалифицированные инженеры в области создания продуктов мирового уровня различных сегментов вычислительной техники, телекоммуникационного оборудования и космической аппаратуры.	shelobkov.png	mem_f1945374
Именем закона	Защита персональных данных: задачу ставит общество	Круглый стол	Большой зал	1	10:00	11:30	https://vkvideo.ru/video-162763950_456239236?pl=-162763950_41	ses_e5bbbe8e	Участник	Ковалевский	Александр Евгеньевич 	Генеральный директор компании «Гарда»	Биография Ковалевского	kovalevski.png	mem_b975b612
Перерыв		Кофе-брейк			11:30	12:00		ses_0cc6167b							
Кибербезопасность в эпоху ИИ	От защиты до угрозы	Круглый стол	Большой зал	1	12:00	13:30	https://vkvideo.ru/video-162763950_456239237?pl=-162763950_41	ses_90ca99b9	Модератор	Кузнецов	Павел	Директор по стратегическим альянсам и GR, «Гарда»	Биография Кузнецова	kuznetsov.png	mem_6d18b633
Кибербезопасность в эпоху ИИ	От защиты до угрозы	Круглый стол	Большой зал	1	12:00	13:30	https://vkvideo.ru/video-162763950_456239237?pl=-162763950_41	ses_90ca99b9	Участник	Служеникин	Дмитрий	Заместитель директора НКО «Фонд содействия развитию безопасных информационных технологий», секретарь Консорциума исследований безопасности технологий искусственного интеллекта	Биография Служеникина	sluzhenikin.jpg	mem_91f92e2c
Кибербезопасность в эпоху ИИ	От защиты до угрозы	Круглый стол	Большой зал	1	12:00	13:30	https://vkvideo.ru/video-162763950_456239237?pl=-162763950_41	ses_90ca99b9	Участник	Левова	Ирина	Директор по стратегическим проектам Ассоциации больших данных	Биография Левовой	levova.png	mem_da9c516c
Кибербезопасность в эпоху ИИ	От защиты до угрозы	Круглый стол	Большой зал	1	12:00	13:30	https://vkvideo.ru/video-162763950_456239237?pl=-162763950_41	ses_90ca99b9	Участник	Представитель ФСТЭК России					mem_e6e8290e
Кибербезопасность в эпоху ИИ	От защиты до угрозы	Круглый стол	Большой зал	1	12:00	13:30	https://vkvideo.ru/video-162763950_456239237?pl=-162763950_41	ses_90ca99b9	Участник	Представитель НКЦКИ					mem_2d3255e4
Кибербезопасность в эпоху ИИ	От защиты до угрозы	Круглый стол	Большой зал	1	12:00	13:30	https://vkvideo.ru/video-162763950_456239237?pl=-162763950_41	ses_90ca99b9	Участник	Представитель Минцифры России					mem_823f0420
Кибербезопасность в эпоху ИИ	От защиты до угрозы	Круглый стол	Большой зал	1	12:00	13:30	https://vkvideo.ru/video-162763950_456239237?pl=-162763950_41	ses_90ca99b9	Участник	Хасин	Евгений	И.о. директора департамента обеспечения кибербезопасности Минцифры России	Биография Хасина	khasin.png	mem_b6bf5133
Будущее в безопасности	Прогноз технологического развития ИБ-отрасли ближайших 5 лет		Лекторий	2	12:00	12:30		ses_b27b74d1		Рябова	Галина	Директор по стратегии, «Гарда»		ryabova.jpg	mem_6f49ebe4
Безопасная передача данных	Практика, закон и реалии	Доклад	Лекторий	2	12:30	14:00		ses_da7a2946	Модератор	Батранков	Денис	Директор по развитию бизнеса, «Гарда»		batrankov.png	mem_6522f6bf
Безопасная передача данных	Практика, закон и реалии	Доклад	Лекторий	2	12:30	14:00		ses_da7a2946	Участник	Кривошлыков	Дорогой Николай Николаевич	Начальник галактики Млечный путь	Биография Гения	krivoshlykov.jpg	mem_ef4c4acd
Эволюция угроз и решений	От WAF к WAAP		Технотрек	3	12:30	12:50		ses_d919ce2e		Сафонов	Лука	Бизнес-партнер по инновационному развитию, «Гарда»		safonov.png	mem_51790e15
Охота на хакера	Почему нужен целый арсенал технологий		Технотрек	3	12:50	13:10		ses_186a1a17		Грибанов	Станислав	Руководитель продукта «Гарда NDR»		gribanov.webp	mem_575a8c9f
MLSecOps	Cистемный взгляд на угрозы и защиту на каждом этапе разработки и внедрения моделей		Технотрек	3	13:10	13:30		ses_f9f1ff74		Карпан	Лариса	Cтарший специалист поvбезопасной разработке Angara Security		karpan.png	mem_daa1517e
От безопасности данных к безопасности человека	Как будет развиваться ИБ-культура	Доклад	Большой зал	1	13:30	14:00		ses_d996ab2a	Докладчик	Масалович	Андрей «Кибердед»		Биография Масаловича	masalovich.jpeg	mem_1056f401
Практика внедрения AI и ML в систему защиты данных от утечек	Бенефиты, кейсы, риски		Технотрек	3	13:30	13:50		ses_73945ffc		Торосян	Арен	Руководитель продукта «Гарда DLP»		torosyan.jpg	mem_fed6ea7e
От анализа трафика к метрикам производительности сети	NPM — первый опыт на российском рынке		Технотрек	3	13:50	14:00		ses_b44712dc		Грибанов	Станислав	Руководитель продукта «Гарда NDR»		gribanov.webp	mem_575a8c9f
Перерыв 		Кофе-брейк			14:00	14:30		ses_b796e4ce							
Оборотные штрафы	Отношение бизнеса и рынка	Результаты исследования	Большой зал	1	14:30	15:00		ses_9a530952	Модератор	Кирсанова	Анна	Директор по маркетингу, «Гарда»		kirsanova.jpg	mem_e59cbb55
